ID,a_x,a_y,X
1,0.000669568,0.002028398,0.67
2,0.000334896,0.000399042,0.56
3,0.137852268,0.002375297,0.67
5,0.518670497,0.28406603,0.75
21,0.069003286,0.147471114,0.44
22,0.766986063,0.880676759,0.96
24,0.132707489,0.092944126,0.72
25,0.344782967,0.155896659,0.53
26,0.828427492,0.88277341,0.96
27,0.192711272,0.089758892,0.45
28,0.23541963,0.094975785,0.8
29,0.445178336,0.399242254,0.84
30,0.648857241,0.722281096,0.89
31,0.534892616,0.800248911,0.9
32,0.171590824,0.129186603,0.69
33,0.54193232,0.381072328,0.87
34,0.674708819,0.814285714,0.91
35,0.844798714,0.881672437,0.95
37,0.000963701,0.005628518,0.47
42,0.54313099,0.227037773,0.75
43,0.295953757,0.341670599,0.76
44,0.281144585,0.252920402,0.68
45,0.320449578,3.33E-16,0.79
46,0.00175826,0.000437828,0.73
49,0.494038965,0.834683955,0.92
51,0.158277744,0.00263774,0.47
54,0.914938046,0.67251462,0.99
55,0.72801285,0.870423694,0.96
56,0.783953384,0.481001727,0.85
57,0.87417978,0.571976546,0.91
58,0.8722961,0.074894171,0.9
59,0.000255366,1.82445E-06,0.53
63,0.001627774,0.002949212,0.5
65,0.919996073,0.437294733,0.95
67,0.371806167,0.52631579,0.87
68,0.595217763,0.026282854,0.86
69,0.612590799,0.069584047,0.85
71,0.904078289,0.887621723,0.96
72,0.67429012,0.838028169,0.89
73,0.676270097,0.971343591,0.97
74,0.675967597,0.77210368,0.88
75,0.953211189,0.83881414,0.96
76,0.953344818,0.971594798,0.98
77,0.953397247,0.772673648,0.96
78,0.601169591,0.562610229,0.85
80,0.391163793,0.00372755,0.78
81,0.001200102,0.860288704,0.89
83,0.013105413,0.175384829,0.7
85,0.305705059,0.798964362,0.86
91,0.852254917,0.324712644,0.92
93,0.000673618,0.001631321,0.69
94,0.545424729,0.001362663,0.77
95,0.023828091,0.028191489,0.78
96,0.502225951,0.790521978,0.87
97,0.78920693,0.002543131,0.82
98,0.242763466,0.002142936,0.7
100,0.037558685,0.038888889,0.73
101,0.155309033,0.282392027,0.42
102,0.006222222,0.935232413,0.94
103,0,0.133165829,0.38
104,0.000918196,0.18018018,0.33
108,0.111917984,0.73539889,0.87
109,0.110909091,0.933647549,0.95
110,2.32E-17,0.000681303,0.21
130,0.143899951,0.828189847,0.84
152,0.742999166,0.891828901,0.94
153,0.659324927,0.056640033,0.77
155,0.549603175,0.154867099,0.74
156,0.728801807,0.110298792,0.8
158,0.073779796,0.433860346,0.71
159,0.059896664,0.837123669,0.88
163,0.886038547,0.091439668,0.9
169,0.010513296,0.313292339,0.37
170,0.211583012,0.788362513,0.89
171,0.587570622,0.603008502,0.88
172,0.398801291,0.519906323,0.88
173,0.175376981,0.156383119,0.74
174,0.368779285,0.552866028,0.74
175,0.015113537,0.041392286,0.14
177,0.006792453,0.01300813,0.48
178,0.730215827,0.001022642,0.83
181,0.655141037,0.011527378,0.83
183,0,0.011251758,0.49
184,0.303797468,0.012135327,0.69
187,0.499210111,0.001919386,0.66
190,0.987826632,0.031792924,0.99
195,0.001076195,5.88E-16,0.71
196,0.012884044,0.009950249,0.71
198,0.63143199,0.76219229,0.91
199,0.909131811,0.957361516,0.98
200,0.632269434,0.755077281,0.91
201,0.956735831,0.847971962,0.96
204,0.232269071,0.273013218,0.71
205,0.067656045,0.442318322,0.75
208,0.000174307,0.834049871,0.89
209,3.12E-16,0.602368866,0.76
240,0.022802106,0.387591495,0.53
241,0.017509728,0.06560285,0.46
242,0.011812774,0.38046856,0.52
249,0.002415459,0.325270065,0.74
250,0.0900979,0.406925177,0.89
251,0.003592814,0.408588742,0.78
253,0.002336449,0.807881773,0.91
254,0.10862262,0.856244439,0.9
255,0.514112903,0.443657393,0.95
258,0.657275833,0.794391365,0.91
259,0.003031874,0.498966515,0.75
260,0.002227171,0.241007194,0.83
261,0.002367076,0.185739964,0.87
266,0.650639075,0.267104394,0.93
269,0.156208719,0.547428571,0.72
271,0.594767974,0.401506997,0.71
273,0.001244528,0.003203848,0.51
274,0.469333333,0.003590269,0.73
276,0.689669953,0.436857891,0.7
284,0.047941333,0.584204414,0.72
285,0.006388702,0.000754896,0.63
286,0.262895928,0.840031383,0.96
287,0.003337041,0.892614426,0.96
289,0.398003743,0.001806739,0.71
294,0.000655308,0.000551862,0.91
299,0.001216979,2.64456E-05,0.65
302,0.001890359,0.950807234,0.99
303,0.003676511,0.752742048,0.93
304,0.000777001,0.174503657,0.99
309,0.688922601,0.001045277,0.8
310,0.742250155,0.096937723,0.86
311,0.9291567,0.929521182,0.96
312,0.949417476,0.988594289,0.99
313,0.788864262,0.436431464,0.92
314,0.366022099,0.325134973,0.85
315,0.290518192,0.084745763,0.62
326,0.000635925,0.037388545,0.69
327,0.001892148,0.031301483,0.69
328,0.592905607,4.43E-16,0.82
329,0.828901891,0.671134337,0.98
333,0.842648923,0.141221374,0.93
335,0.002730748,0.445554446,0.69
336,0.010940919,0.581241379,0.75
337,0.003314917,0.189054726,0.61
338,0.003571429,0.010740531,0.28
340,0.00088574,0.064699205,0.73
341,0.000880282,0.059023837,0.85
342,0.001053741,0.010884354,0.72